Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Ѩрѫ фарисеи, аꙋζинд чѣстѣ, зисърѫ: ачеста нꙋ скоате драчїи, че нꙋмаи кꙋ велζевꙋл, домнꙋл драчилѡр.	Fariseii însă, auzind, ziceau: Acesta nu scoate pe demoni decât cu Beelzebul, căpetenia demonilor.
Ѩрѫ ЇС щїинд кꙋџетеле лѡр,зисе лѡр: тоатѫ ꙟпъръцїѧ че съ ва деспърци ꙟ сине, ва пꙋстїи, ши тоатѫ четатѣ, аꙋ каса, карѣ съ ва скꙋла ѹна пре алалтѫ, нꙋва ста.	Cunoscând gândurile lor, Iisus le-a zis: Orice împărăție care se dezbină în sine se pustiește, orice cetate sau casă care se dezbină în sine nu va dăinui.
Ши де ва скоате сатанѫ пре сатанѫ, съ пиζмескь ꙟсинеш: дарѫ кꙋмва ста ꙟпъръцїѧ лꙋи?	Dacă satana scoate pe satana, s-a dezbinat în sine; dar atunci cum va dăinui împărăția lui?
Ши е дѣка гонескь кꙋ велζевꙋл драчїи, дарѫ фечорїи вощри кꙋ чине вор гони? дерепт ачѣѧ Еи вор фи џюдекъторїи вощри.	Și dacă Eu scot pe demoni cu Beelzebul, feciorii voștri cu cine îi scot? De aceea ei vă vor fi judecători.
Ѩрѫ де гонеск еꙋ кꙋ дхꙋл лꙋи дꙋмнеѕъꙋ драчїи, дерепт ачѣѧ съ атинсе ла вои ꙟпъръцїѧ лꙋи дꙋмнеѕъꙋ.	Iar dacă Eu cu Duhul lui Dumnezeu scot pe demoni, iată a ajuns la voi împărăția lui Dumnezeu.
Саꙋ кꙋм поате чинева ꙟтра ꙟкаса челꙋи таре, ши васеле лꙋи съи жѫхꙋѩскѫ, де нꙋва лега ꙟтъи пре чель таре ши атꙋнчїи ва жъхꙋи каса лꙋи?	Cum poate cineva să intre în casa celui tare și să-i jefuiască lucrurile, dacă nu va lega întâi pe cel tare și pe urmă să-i prade casa?
Чела че нꙋ ѧсте кꙋ мине, спре мине ѧсте ши чине нꙋ стрънџе кꙋ мине, ръсипѣще.	Cine nu este cu Mine este împotriva Mea și cine nu adună cu Mine risipește.
Дерепт ачаста гръескь воаѡ: тот пъкатꙋл ши хꙋла Ертасѫва ѡаменилѡр, ѩрѫ хꙋла чее спре дꙋхꙋл свънт нꙋ съва Ерта ѡаменилѡр.	De aceea vă zic: Orice păcat și orice hulă se va ierta oamenilor, dar hula împotriva Duhului nu se va ierta.
Ши чине ва зиче кꙋвънт спре фїюл ѡменескь, Ертасѫва лꙋи, ѩрѫ чела че арѫ зиче спре дꙋхꙋл свънт, нꙋ съва Ерта луи,нече ꙟтра честа вѣк,нече ꙟчела.	Celui care va zice cuvânt împotriva Fiului Omului, se va ierta lui; dar celui care va zice împotriva Duhului Sfânt, nu i se va ierta lui, nici în veacul acesta, nici în cel ce va să fie.
Саꙋ фачец помꙋл бꙋн, ши поамеле лꙋи вꙋне, саꙋ фачец помꙋл пꙋтред, ши поамеле лꙋи пꙋтреде къ дин поаме съ кꙋноаще помꙋл.	Ori spuneți că pomul este bun și rodul lui e bun, ori spuneți că pomul e rău și rodul lui e rău, căci după roadă se cunoaște pomul.
Пꙋии нъпърчелѡр, кꙋм пꙋтець гръи бине, ръи фїинд?къ дин плинꙋл инимїи гꙋра гръѧще.	Pui de vipere, cum puteți să grăiți cele bune, odată ce sunteți răi? Căci din prisosul inimii grăiește gura.
Ѡмꙋл бꙋн диꙟ комоара бꙋнѫ а инимїи сале скоате бꙋне, ши ѡмꙋл ръꙋ, дин комоарѫ рѣ скоате рѣле.	Omul cel bun din comoara lui cea bună scoate afară cele bune, pe când omul cel rău, din comoara lui cea rea scoate afară cele rele.
Ѩрѫ гръескь воаѡ къ тот кꙋвънтꙋл дешърт, кареле вор гръи, ѡаменїи давор деел самѫ ла зꙋа де џюдекатѫ.	Vă spun că pentru orice cuvânt deșert, pe care-l vor rosti, oamenii vor da socoteală în ziua judecății.
Ка дин кꙋвинтеле тале тевеи дерепта, ши дин кꙋвинтеле тале тевеи џюдека .	Căci din cuvintele tale vei fi găsit drept, și din cuvintele tale vei fi osândit.
Атꙋнче ръспꙋнсърѫ ѹнїи де ꙟкъртꙋлари ши фарисеи, ζикънд: ꙟвъцътоаре, вом дела тине съ ведем съмнь.	Atunci I-au răspuns unii dintre cărturari și farisei, zicând: Învățătorule, voim să vedem de la Tine un semn.
Ѩрѫ Ел ръспꙋнсе, ζисе лѡр: нѣмꙋл ръꙋ ши кꙋрварю съмнꙋ чѣре, ши съмнꙋ нꙋсъ ва да лꙋи, нꙋмаи съмнꙋ лꙋи Їѡна пророкꙋл.	Iar El, răspunzând, le-a zis: Neam viclean și desfrânat cere semn, dar semn nu i se va da, decât semnul lui Iona proorocul.
Къ кꙋм аꙋ фост Їѡна ꙟмацеле кѵтꙋлꙋи треи ζиле ши треи нопци, ашѧ вафи ши фїюл ѡменескь ꙟтрꙋ инима пъмънтꙋлꙋи,треи ζиле ши треи нопци.	Că precum a fost Iona în pântecele chitului trei zile și trei nopți, așa va fi și Fiul Omului în inima pământului trei zile și trei nopți.
Ѡаменїи неневитѣни, скꙋласъвор ла џюдекатѫ кꙋ рꙋда ачаста, ши вор џюдека пре ѧ, къ Еи съ покъирѫ де пропове данїѧ лꙋи Їѡна; ши ѩтѫи ши маи маре де Їѡна аичѣ.	Bărbații din Ninive se vor scula la judecată cu neamul acesta și-l vor osândi, că s-au pocăit la propovăduirea lui Iona; iată aici este mai mult decât Iona.
Кръѩса дела амїаζъζи съва скꙋла лаџюдекатѫ кꙋрꙋда ачаста, ши ѡ ва џюдека преѧ, къ вени дела марџинѣ пъмънтꙋлꙋн съ аꙋζѫ ꙟцелепцїѧ лꙋи соломѡнь, ши ѩка маи маре де соломѡнь ачичѣ.	Regina de la miazăzi se va scula la judecată cu neamul acesta și-l va osândi, căci a venit de la marginile pământului ca să asculte înțelepciunea lui Solomon, și iată aici este mai mult decât Solomon.
Ѩрѫ къндь ѧсе дꙋхꙋль некꙋрать диꙟ ѡм, ꙟмблѫ пре ꙟлокꙋре сечи, къꙋтънд ръпаѡсь ши нꙋ афлѫ.	Și când duhul necurat a ieșit din om, umblă prin locuri fără apă, căutând odihnă și nu găsește.
Атꙋнчи зиче: ꙟтоарче мѫ вою ꙟкаса мѣ деꙋнде ам ешит; ши дѣка вине афлѫ дешартѫ, мътꙋратѫ ши ꙟфръмсецатѫ.	Atunci zice: Mă voi întoarce la casa mea de unde am ieșit; și venind, o află golită, măturată și împodobită.
Атꙋнчи мѣрџе ши ѧ кꙋ сине алте шапте дꙋхꙋре маи рѣле декът Ел, ши ꙟтрѫ, де лъкꙋескь аколѣ, ши ва фи маи ръꙋ ѡмꙋлꙋи лꙋкрꙋль чель де апои, декът чель дентъи. ашѧ ва фи ши ачещїи рꙋде рѣле.	Atunci se duce și ia cu sine alte șapte duhuri mai rele decât el și, intrând, sălășluiesc aici și se fac cele de pe urmă ale omului aceluia mai rele decât cele dintâi. Așa va fi și cu acest neam viclean.
Ѩрѫ ꙟкѫ гръинд Ел кътрѫ мꙋлциме, адекѫ мꙋма лꙋи ши фрацїи лꙋи ста афарѫ, похтинд съ гръѩскѫ лꙋи.	Și încă vorbind El mulțimilor, iată mama și frații Lui stăteau afară, căutând să vorbească cu El.
Зисе ѡаре чине лꙋи: ѩка мꙋма та ши фрацїи тъи афарѫ стаꙋ,къꙋтъндь съ гръѩскѫ цїе.	Cineva I-a zis: Iată mama Ta și frații Tăi stau afară, căutând să-Ți vorbească.
Ѩрѫ ель ръспꙋнсе, ζисе кътрѫ чела чеи ζисѣсе, карѣи мꙋма мѣ, ши карїи фрацїи мїеи?	Iar El i-a zis: Cine este mama Mea și cine sunt frații Mei?
Ши, тинсе мъна лꙋи спре ѹченичїи съи ,ζисе: ѩка мꙋма мѣ ши фрацїи мїеи.	Și, întinzând mâna către ucenicii Săi, a zis: Iată mama Mea și frații Mei.
Къ чела чева фаче воѧ татѫлꙋи мїеꙋ кареле ѧсте ꙟчерюре, ачела мїе фрате ши соръ ши мꙋмѫм ѧсте.	Că oricine va face voia Tatălui Meu Celui din ceruri, acela îmi este frate și soră și mamă.
﻿Ꙟζꙋѡа ачѣѧ, еши ЇС де ꙟкасѫ, шедѣ лънгѫ маре.	În ziua aceea, ieșind Iisus din casă, ședea lângă mare.
Ши съ адꙋнарѫ мꙋлцꙋме мꙋлтѫ кътрѫнсꙋл, атъта кътꙋи фꙋ лꙋи а ꙟтра ꙟкорабїе съшаζ ши тоатѫ диханїѧ ста прецърмꙋре.	Și s-au adunat la El mulțimi multe, încât intrând în corabie ședea în ea și toată mulțimea sta pe țărm.
Ши гръи лѡръ мꙋлте, ꙟпилдѫ , ζикънд: ѩка Еши съмънъторюл съ самене.	Și le-a grăit lor multe, în pilde, zicând: Iată a ieșit semănătorul să semene.
Ши съмънънд Ел, ѹнеле къζꙋрѫ лънгѫ кале ши венирѫ пасъриле шиле мънкарѫ.	Și pe când semăna, unele semințe au căzut lângă drum și au venit păsările și le-au mâncat.
Дарѫ алтеле къζꙋрѫ пре пїетриш, ꙋнде нꙋ авѣ пъмьнт мꙋлт ши нꙋмаи кът ръсърирѫ, пентрꙋче нꙋ авѣ пъмънт адънкь.	Altele au căzut pe loc pietros, unde n-aveau pământ mult și îndată au răsărit, că n-aveau pământ adânc;
Дечи ръсъринд соареле съвещежирѫ, ши пентрꙋче нꙋавꙋрѫ ръдъчинѫ съ ѹскарѫ.	Iar când s-a ivit soarele, s-au pălit de arșiță și, neavând rădăcină, s-au uscat.
Алтеле ѩрѫ къζꙋрѫ ꙟтре спини, ши крескꙋрѫ спинїи ши ле ꙟнекарѫ.	Altele au căzut între spini, dar spinii au crescut și le-au înăbușit.
Дарѫ алтеле къζꙋрѫ ꙟпъмьнть бꙋнь ши дѣдерѫ рѡд:ѹна ѡсꙋтѫ,алта шасеζечь, ѩрѫ алта треизечи.	Altele au căzut pe pământ bun și au dat rod: una o sută, alta șaizeci, alta treizeci.
Чела че аре ѹреки де аꙋζирѣ съ аꙋζѫ, коц пѧк пнед 6 нед.	Cine are urechi de auzit să audă.
Атꙋнчи апропїиндꙋсѫ кътрѫ ель, ѹченичїи лꙋи ζисърѫ лꙋи: къче гръещи лѡрь ꙟпилде?	Și ucenicii, apropiindu-se de El, I-au zis: De ce le vorbești lor în pilde?
Ѩрѫ ель, ръспꙋнсе, ζисе лѡрь: къ воаѡ датѫ ѧсте съ щиц таина ꙟпърѫцїи черюлꙋи, ѩрѫ ачелора нꙋ ле датѫ.	Iar El, răspunzând, le-a zis: Pentru că vouă vi s-a dat să cunoașteți tainele împărăției cerurilor, pe când acestora nu li s-a dat.
(Къ чела че аре дасева лꙋи, ши маи мꙋлть ва авѣ ѩрѫ кареле наре, ши че аре ꙟкѫ съва лꙋа дела Ель.	Căci celui ce are i se va da și-i va prisosi, iar de la cel ce nu are, și ce are i se va lua.
Дерепть ачаста ꙟпилдѫ гръескь лѡр, ка въζъндь, нꙋ вор ведїѣ, ши аꙋζинд, нꙋ ворь аꙋζи, нече ворь ꙟцелѣџе.	De aceea le vorbesc în pilde, că, văzând, nu văd și, auzind, nu aud, nici nu înțeleg.
Ши съсѫ ꙟпле ꙟтрънши пророчїѧ Їсаиеи, карѣ ζиче: кꙋ аꙋζитꙋль веци аꙋζи, ши нꙋвец ꙟцелѣџе ши къꙋтънд вець къꙋта, ши нꙋ вець ведѣ.	Și se împlinește cu ei proorocia lui Isaia, care zice: "Cu urechile veți auzi, dar nu veți înțelege, și cu ochii vă veți uita, dar nu veți vedea".
Къ саꙋ ꙟгрошат инима ачестѡрь ѡамени ши кꙋ ѹрекиле аꙋд кꙋ греꙋ ши ѡкїи лѡр ꙟкисърѫ, с нꙋ къндва ваζѫ кꙋ ѡкїи, ши кꙋ ѹрекиле съ аꙋζѫ, ши кꙋ инима съ ꙟцелѣгѫ, ши съ се ꙟтоаркѫ, съи виндек пре еи.	Căci inima acestui popor s-a învârtoșat și cu urechile aude greu și ochii lui s-au închis, ca nu cumva să vadă cu ochii și să audă cu urechile și cu inima să înțeleagă și să se întoarcă, și Eu să-i tămăduiesc pe ei.
Ѩрѫ ѡкїи вощри феричици кѫ въд ши ѹрекиле воастре къ аꙋд.	Dar fericiți sunt ochii voștri că văd și urechile voastre că aud.
Къ адевърь гръескь воаѡ къ мꙋлци пророчи ши дерепци похтирѫ съ ваζѫ че ведець, ши нꙋ въζꙋрѫ, ши съ аꙋζѫ че аꙋζиць, ши нꙋ аꙋζирѫ.	Căci adevărat grăiesc vouă că mulți prooroci și drepți au dorit să vadă cele ce priviți voi, și n-au văzut, și să audă cele ce auziți voi, și n-au auzit.
Дарѫ вои, аꙋζиць пилда съмънъторюлꙋи:	Voi, deci, ascultați pilda semănătorului:
Къ тоть чине аꙋде кꙋвънтꙋл ꙟпъръцїеи ши нꙋ ꙟцелѣџе, вине хитлѣнꙋль, шиапꙋкѫ съмънат ꙟтрꙋ инима лꙋи; ачастаи съмънатꙋра лънгъ кале.	De la oricine aude cuvântul împărăției și nu-l înțelege, vine cel viclean și răpește ce s-a semănat în inima lui; aceasta este sămânța semănată lângă drum.
Ѩрѫ съмънца чѣ дин пїетриш ачаста ѧсте кареле аꙋде кꙋвънтꙋл ши нꙋмаи къть кꙋ драгосте прїимѣще пре Ель.	Cea semănată pe loc pietros este cel care aude cuvântul și îndată îl primește cu bucurie,
Ши нꙋ аре ръдъчинѫ ꙟтрꙋсине, че тимпꙋрїꙋ фїинд ѩрѫ скорниндꙋсѫ фꙋгѫ, ши ръζмирицѫ пентрꙋ кꙋвънть, нꙋ маи декъть съ сминтѣще .	Dar nu are rădăcină în sine, ci ține până la o vreme și, întâmplându-se strâmtorare sau prigoană pentru cuvânt, îndată se smintește.
Ѩрѫl съмънца чеи съмънатѫ ꙟспинн ачеста ѧсте кареле аꙋде кꙋвънтꙋл че грижа вѣкꙋлꙋи ачестꙋѧ, ши ꙟшълъчюнѣ богъцїи сꙋгрꙋмѧ кꙋвънтꙋль, ши фърѫ де рѡд ѧсте.	Cea semănată în spini este cel care aude cuvântul, dar grija acestei lumi și înșelăciunea avuției înăbușă cuvântul și îl face neroditor.
